0:  (4)220000, 355:  (6)221010
1:  (4)220000, 355:  (6)221010
2:  (4)220000, 355:  (6)221010
3:  (4)220000, 355:  (6)221010
4:  (4)220000, 355:  (6)221010
5:  (4)220000, 355:  (6)221010
6:  (4)220000, 355:  (6)221010
7:  (4)200020, 241:  (6)210120
8:  (4)200020, 241:  (6)210120
9:  (4)200020, 241:  (6)210120
10:  (4)200020, 241:  (6)210120
11:  (4)200020, 241:  (6)210120
12:  (4)200020, 241:  (6)210120
13:  (4)200020, 241:  (6)210120
14:  (4)000220, 1:  (6)002220
15:  (4)000220, 1:  (6)002220
16:  (4)000220, 1:  (6)002220
17:  (4)000220, 1:  (6)002220
18:  (4)000220, 1:  (6)002220
19:  (4)000220, 1:  (6)002220
20:  (4)000220, 1:  (6)002220
21:  (4)002200, 1:  (6)002220
22:  (4)002200, 1:  (6)002220
23:  (4)002200, 1:  (6)002220
24:  (4)002200, 1:  (6)002220
25:  (4)002200, 1:  (6)002220
26:  (4)002200, 1:  (6)002220
27:  (4)002200, 1:  (6)002220
28:  (4)022000, 61:  (6)022200
29:  (4)022000, 61:  (6)022200
30:  (4)022000, 61:  (6)022200
31:  (4)022000, 61:  (6)022200
32:  (4)022000, 61:  (6)022200
33:  (4)022000, 61:  (6)022200
34:  (4)022000, 61:  (6)022200
35:  (4)202000, 224:  (6)212100
36:  (4)202000, 224:  (6)212100
37:  (4)202000, 224:  (6)212100
38:  (4)202000, 224:  (6)212100
39:  (4)202000, 224:  (6)212100
40:  (4)202000, 224:  (6)212100
41:  (4)202000, 224:  (6)212100
42:  (4)020020, 109:  (6)120120
43:  (4)020020, 109:  (6)120120
44:  (4)020020, 109:  (6)120120
45:  (4)020020, 109:  (6)120120
46:  (4)020020, 109:  (6)120120
47:  (4)020020, 109:  (6)120120
48:  (4)020020, 109:  (6)120120
49:  (4)200200, 253:  (6)200220
50:  (4)200200, 253:  (6)200220
51:  (4)200200, 253:  (6)200220
52:  (4)200200, 253:  (6)200220
53:  (4)200200, 253:  (6)200220
54:  (4)200200, 253:  (6)200220
55:  (4)200200, 253:  (6)200220
56:  (4)002020, 1:  (6)002220
57:  (4)002020, 1:  (6)002220
58:  (4)002020, 1:  (6)002220
59:  (4)002020, 1:  (6)002220
60:  (4)002020, 1:  (6)002220
61:  (4)002020, 1:  (6)002220
62:  (4)002020, 1:  (6)002220
63:  (4)020200, 61:  (6)022200
64:  (4)020200, 61:  (6)022200
65:  (4)020200, 61:  (6)022200
66:  (4)020200, 61:  (6)022200
67:  (4)020200, 61:  (6)022200
68:  (4)020200, 61:  (6)022200
69:  (4)020200, 61:  (6)022200
70:  (4)202000, 224:  (6)212100
71:  (4)200200, 253:  (6)200220
72:  (4)220000, 355:  (6)221010
73:  (4)202000, 224:  (6)212100
74:  (4)220000, 355:  (6)221010
75:  (4)200200, 253:  (6)200220
76:  (4)220000, 355:  (6)221010
77:  (4)022000, 61:  (6)022200
78:  (4)020200, 61:  (6)022200
79:  (4)220000, 355:  (6)221010
80:  (4)022000, 61:  (6)022200
81:  (4)220000, 355:  (6)221010
82:  (4)020200, 61:  (6)022200
83:  (4)202000, 224:  (6)212100
84:  (4)022000, 61:  (6)022200
85:  (4)022000, 61:  (6)022200
86:  (4)202000, 224:  (6)212100
87:  (4)202000, 224:  (6)212100
88:  (4)002200, 1:  (6)002220
89:  (4)022000, 61:  (6)022200
90:  (4)002200, 1:  (6)002220
91:  (4)200200, 253:  (6)200220
92:  (4)020200, 61:  (6)022200
93:  (4)002200, 1:  (6)002220
94:  (4)020200, 61:  (6)022200
95:  (4)002200, 1:  (6)002220
96:  (4)200200, 253:  (6)200220
97:  (4)002200, 1:  (6)002220
98:  (4)200200, 253:  (6)200220
99:  (4)020200, 61:  (6)022200
100:  (4)220000, 355:  (6)221010
101:  (4)202000, 224:  (6)212100
102:  (4)220000, 355:  (6)221010
103:  (4)200020, 241:  (6)210120
104:  (4)202000, 224:  (6)212100
105:  (4)200020, 241:  (6)210120
106:  (4)220000, 355:  (6)221010
107:  (4)220000, 355:  (6)221010
108:  (4)020020, 109:  (6)120120
109:  (4)220000, 355:  (6)221010
110:  (4)022000, 61:  (6)022200
111:  (4)022000, 61:  (6)022200
112:  (4)020020, 109:  (6)120120
113:  (4)202000, 224:  (6)212100
114:  (4)022000, 61:  (6)022200
115:  (4)202000, 224:  (6)212100
116:  (4)002020, 1:  (6)002220
117:  (4)022000, 61:  (6)022200
118:  (4)202000, 224:  (6)212100
119:  (4)022000, 61:  (6)022200
120:  (4)002020, 1:  (6)002220
121:  (4)200020, 241:  (6)210120
122:  (4)020020, 109:  (6)120120
123:  (4)200020, 241:  (6)210120
124:  (4)020020, 109:  (6)120120
125:  (4)002020, 1:  (6)002220
126:  (4)200020, 241:  (6)210120
127:  (4)002020, 1:  (6)002220
128:  (4)020020, 109:  (6)120120
129:  (4)002020, 1:  (6)002220
130:  (4)200200, 253:  (6)200220
131:  (4)200020, 241:  (6)210120
132:  (4)220000, 355:  (6)221010
133:  (4)200020, 241:  (6)210120
134:  (4)220000, 355:  (6)221010
135:  (4)200200, 253:  (6)200220
136:  (4)220000, 355:  (6)221010
137:  (4)220000, 355:  (6)221010
138:  (4)020020, 109:  (6)120120
139:  (4)020200, 61:  (6)022200
140:  (4)020020, 109:  (6)120120
141:  (4)220000, 355:  (6)221010
142:  (4)020200, 61:  (6)022200
143:  (4)200200, 253:  (6)200220
144:  (4)020200, 61:  (6)022200
145:  (4)200200, 253:  (6)200220
146:  (4)000220, 1:  (6)002220
147:  (4)020200, 61:  (6)022200
148:  (4)000220, 1:  (6)002220
149:  (4)200200, 253:  (6)200220
150:  (4)020200, 61:  (6)022200
151:  (4)200020, 241:  (6)210120
152:  (4)020020, 109:  (6)120120
153:  (4)200020, 241:  (6)210120
154:  (4)000220, 1:  (6)002220
155:  (4)020020, 109:  (6)120120
156:  (4)200020, 241:  (6)210120
157:  (4)000220, 1:  (6)002220
158:  (4)020020, 109:  (6)120120
159:  (4)000220, 1:  (6)002220
160:  (4)200200, 253:  (6)200220
161:  (4)200020, 241:  (6)210120
162:  (4)202000, 224:  (6)212100
163:  (4)200200, 253:  (6)200220
164:  (4)202000, 224:  (6)212100
165:  (4)200020, 241:  (6)210120
166:  (4)202000, 224:  (6)212100
167:  (4)002020, 1:  (6)002220
168:  (4)002200, 1:  (6)002220
169:  (4)002020, 1:  (6)002220
170:  (4)202000, 224:  (6)212100
171:  (4)202000, 224:  (6)212100
172:  (4)002200, 1:  (6)002220
173:  (4)200200, 253:  (6)200220
174:  (4)000220, 1:  (6)002220
175:  (4)002200, 1:  (6)002220
176:  (4)200200, 253:  (6)200220
177:  (4)002200, 1:  (6)002220
178:  (4)200200, 253:  (6)200220
179:  (4)002200, 1:  (6)002220
180:  (4)000220, 1:  (6)002220
181:  (4)200020, 241:  (6)210120
182:  (4)000220, 1:  (6)002220
183:  (4)002020, 1:  (6)002220
184:  (4)000220, 1:  (6)002220
185:  (4)200020, 241:  (6)210120
186:  (4)002020, 1:  (6)002220
187:  (4)200020, 241:  (6)210120
188:  (4)000220, 1:  (6)002220
189:  (4)002020, 1:  (6)002220
190:  (4)020200, 61:  (6)022200
191:  (4)020020, 109:  (6)120120
192:  (4)022000, 61:  (6)022200
193:  (4)020200, 61:  (6)022200
194:  (4)022000, 61:  (6)022200
195:  (4)020020, 109:  (6)120120
196:  (4)002200, 1:  (6)002220
197:  (4)002020, 1:  (6)002220
198:  (4)022000, 61:  (6)022200
